School,Year,Round
wake-forest,2020.0,5.0
wake-forest,2020.0,6.0
wake-forest,2019.0,4.0
wake-forest,2018.0,2.0
wake-forest,2018.0,6.0
wake-forest,2017.0,5.0
wake-forest,2015.0,1.0
wake-forest,2014.0,7.0
wake-forest,2013.0,7.0
wake-forest,2012.0,4.0
wake-forest,2012.0,4.0
wake-forest,2012.0,4.0
wake-forest,2012.0,6.0
baylor,2021.0,7.0
baylor,2020.0,2.0
baylor,2020.0,4.0
baylor,2020.0,6.0
baylor,2020.0,7.0
baylor,2019.0,3.0
baylor,2017.0,7.0
baylor,2016.0,1.0
baylor,2016.0,2.0
baylor,2016.0,4.0
baylor,2016.0,5.0
baylor,2016.0,6.0
baylor,2015.0,4.0
baylor,2015.0,7.0
baylor,2014.0,5.0
baylor,2014.0,6.0
baylor,2014.0,6.0
baylor,2014.0,7.0
baylor,2014.0,7.0
baylor,2013.0,3.0
baylor,2012.0,1.0
baylor,2012.0,1.0
baylor,2012.0,4.0
baylor,2012.0,6.0
baylor,2012.0,6.0
iowa-state,2021.0,4.0
iowa-state,2019.0,3.0
iowa-state,2019.0,4.0
iowa-state,2014.0,5.0
iowa-state,2013.0,5.0
iowa-state,2013.0,7.0
iowa-state,2012.0,2.0
kansas,2020.0,6.0
kansas,2018.0,4.0
kansas,2015.0,5.0
kansas,2015.0,6.0
kansas,2015.0,7.0
kansas,2015.0,7.0
kansas,2013.0,5.0
kansas-state,2021.0,7.0
kansas-state,2019.0,2.0
kansas-state,2019.0,6.0
kansas-state,2018.0,5.0
kansas-state,2017.0,3.0
kansas-state,2017.0,7.0
kansas-state,2016.0,2.0
kansas-state,2015.0,3.0
kansas-state,2015.0,6.0
kansas-state,2014.0,6.0
kansas-state,2013.0,2.0
kansas-state,2013.0,4.0
kansas-state,2013.0,6.0
kansas-state,2012.0,7.0
oklahoma,2021.0,2.0
oklahoma,2021.0,3.0
oklahoma,2021.0,4.0
oklahoma,2021.0,4.0
oklahoma,2021.0,7.0
oklahoma,2020.0,1.0
oklahoma,2020.0,1.0
oklahoma,2020.0,2.0
oklahoma,2020.0,3.0
oklahoma,2019.0,1.0
oklahoma,2019.0,1.0
oklahoma,2019.0,2.0
oklahoma,2019.0,3.0
oklahoma,2019.0,4.0
oklahoma,2019.0,4.0
oklahoma,2019.0,5.0
oklahoma,2019.0,6.0
oklahoma,2018.0,1.0
oklahoma,2018.0,3.0
oklahoma,2018.0,3.0
oklahoma,2018.0,5.0
oklahoma,2017.0,2.0
oklahoma,2017.0,4.0
oklahoma,2017.0,4.0
oklahoma,2017.0,6.0
oklahoma,2016.0,2.0
oklahoma,2016.0,4.0
oklahoma,2016.0,5.0
oklahoma,2016.0,6.0
oklahoma,2015.0,2.0
oklahoma,2015.0,2.0
oklahoma,2015.0,3.0
oklahoma,2015.0,4.0
oklahoma,2015.0,4.0
oklahoma,2015.0,6.0
oklahoma,2015.0,6.0
oklahoma,2014.0,4.0
oklahoma,2014.0,4.0
oklahoma,2014.0,7.0
oklahoma,2014.0,7.0
oklahoma,2013.0,1.0
oklahoma,2013.0,4.0
oklahoma,2013.0,5.0
oklahoma,2013.0,6.0
oklahoma,2013.0,6.0
oklahoma,2013.0,7.0
oklahoma,2012.0,2.0
oklahoma,2012.0,3.0
oklahoma,2012.0,3.0
oklahoma,2012.0,4.0
oklahoma,2012.0,4.0
oklahoma,2012.0,6.0
oklahoma,2012.0,7.0
oklahoma-state,2021.0,2.0
oklahoma-state,2021.0,4.0
oklahoma-state,2021.0,4.0
oklahoma-state,2021.0,6.0
oklahoma-state,2019.0,4.0
oklahoma-state,2019.0,7.0
oklahoma-state,2018.0,2.0
oklahoma-state,2018.0,3.0
oklahoma-state,2018.0,5.0
oklahoma-state,2018.0,7.0
oklahoma-state,2017.0,6.0
oklahoma-state,2017.0,7.0
oklahoma-state,2016.0,2.0
oklahoma-state,2015.0,7.0
oklahoma-state,2014.0,1.0
oklahoma-state,2013.0,5.0
oklahoma-state,2012.0,1.0
oklahoma-state,2012.0,1.0
oklahoma-state,2012.0,6.0
tcu,2021.0,2.0
tcu,2021.0,5.0
tcu,2020.0,1.0
tcu,2020.0,1.0
tcu,2020.0,2.0
tcu,2020.0,3.0
tcu,2020.0,7.0
tcu,2019.0,1.0
tcu,2019.0,2.0
tcu,2019.0,7.0
tcu,2018.0,3.0
tcu,2018.0,6.0
tcu,2018.0,7.0
tcu,2017.0,7.0
tcu,2016.0,1.0
tcu,2016.0,4.0
tcu,2016.0,5.0
tcu,2016.0,6.0
tcu,2016.0,6.0
tcu,2015.0,3.0
tcu,2015.0,6.0
tcu,2014.0,1.0
tcu,2013.0,4.0
tcu,2013.0,5.0
tcu,2012.0,5.0
tcu,2012.0,7.0
texas,2021.0,2.0
texas,2021.0,3.0
texas,2021.0,5.0
texas,2021.0,5.0
texas,2021.0,6.0
texas,2020.0,3.0
texas,2020.0,3.0
texas,2020.0,5.0
texas,2019.0,5.0
texas,2019.0,7.0
texas,2018.0,2.0
texas,2018.0,3.0
texas,2018.0,5.0
texas,2018.0,6.0
texas,2017.0,3.0
texas,2016.0,4.0
texas,2015.0,1.0
texas,2015.0,3.0
texas,2015.0,5.0
texas,2015.0,6.0
texas,2015.0,7.0
texas,2013.0,1.0
texas,2013.0,3.0
texas,2013.0,4.0
texas,2012.0,4.0
texas,2012.0,6.0
texas,2012.0,7.0
texas-tech,2021.0,4.0
texas-tech,2021.0,7.0
texas-tech,2020.0,1.0
texas-tech,2020.0,5.0
texas-tech,2019.0,7.0
texas-tech,2018.0,4.0
texas-tech,2018.0,6.0
texas-tech,2017.0,1.0
texas-tech,2016.0,3.0
texas-tech,2016.0,5.0
texas-tech,2016.0,6.0
texas-tech,2014.0,2.0
texas-tech,2014.0,7.0
west-virginia,2021.0,5.0
west-virginia,2020.0,5.0
west-virginia,2020.0,5.0
west-virginia,2019.0,3.0
west-virginia,2019.0,3.0
west-virginia,2019.0,4.0
west-virginia,2019.0,4.0
west-virginia,2019.0,6.0
west-virginia,2018.0,4.0
west-virginia,2017.0,3.0
west-virginia,2017.0,5.0
west-virginia,2016.0,1.0
west-virginia,2016.0,3.0
west-virginia,2016.0,4.0
west-virginia,2016.0,5.0
west-virginia,2016.0,5.0
west-virginia,2015.0,1.0
west-virginia,2015.0,4.0
west-virginia,2015.0,5.0
west-virginia,2015.0,7.0
west-virginia,2014.0,3.0
west-virginia,2014.0,3.0
west-virginia,2013.0,1.0
west-virginia,2013.0,2.0
west-virginia,2013.0,3.0
west-virginia,2012.0,1.0
west-virginia,2012.0,5.0
west-virginia,2012.0,6.0
illinois,2021.0,3.0
illinois,2021.0,5.0
illinois,2019.0,7.0
illinois,2017.0,3.0
illinois,2016.0,2.0
illinois,2016.0,6.0
illinois,2016.0,7.0
illinois,2013.0,3.0
illinois,2013.0,4.0
illinois,2013.0,5.0
illinois,2013.0,7.0
illinois,2012.0,1.0
illinois,2012.0,1.0
illinois,2012.0,2.0
illinois,2012.0,2.0
indiana,2021.0,5.0
indiana,2020.0,6.0
indiana,2019.0,4.0
indiana,2018.0,4.0
indiana,2018.0,6.0
indiana,2017.0,3.0
indiana,2016.0,2.0
indiana,2016.0,5.0
indiana,2016.0,6.0
indiana,2015.0,3.0
indiana,2014.0,2.0
indiana,2014.0,7.0
iowa,2021.0,3.0
iowa,2021.0,5.0
iowa,2021.0,5.0
iowa,2021.0,6.0
iowa,2020.0,1.0
iowa,2020.0,2.0
iowa,2020.0,3.0
iowa,2020.0,7.0
iowa,2020.0,7.0
iowa,2019.0,1.0
iowa,2019.0,1.0
iowa,2019.0,4.0
iowa,2019.0,4.0
iowa,2018.0,2.0
iowa,2018.0,2.0
iowa,2018.0,4.0
iowa,2017.0,3.0
iowa,2017.0,4.0
iowa,2017.0,5.0
iowa,2017.0,5.0
iowa,2016.0,7.0
iowa,2015.0,1.0
iowa,2015.0,3.0
iowa,2015.0,4.0
iowa,2014.0,3.0
iowa,2014.0,3.0
iowa,2014.0,4.0
iowa,2013.0,5.0
iowa,2012.0,1.0
iowa,2012.0,4.0
iowa,2012.0,5.0
iowa,2012.0,5.0
iowa,2012.0,6.0
iowa,2012.0,7.0
maryland,2021.0,7.0
maryland,2020.0,4.0
maryland,2020.0,6.0
maryland,2019.0,1.0
maryland,2019.0,5.0
maryland,2019.0,6.0
maryland,2019.0,7.0
maryland,2018.0,1.0
maryland,2018.0,5.0
maryland,2016.0,2.0
maryland,2016.0,3.0
maryland,2016.0,5.0
maryland,2015.0,5.0
maryland,2015.0,6.0
maryland,2014.0,3.0
maryland,2013.0,7.0
michigan-state,2020.0,4.0
michigan-state,2020.0,7.0
michigan-state,2019.0,3.0
michigan-state,2019.0,4.0
michigan-state,2018.0,4.0
michigan-state,2017.0,2.0
michigan-state,2017.0,4.0
michigan-state,2016.0,1.0
michigan-state,2016.0,3.0
michigan-state,2016.0,4.0
michigan-state,2016.0,6.0
michigan-state,2016.0,7.0
michigan-state,2015.0,1.0
michigan-state,2015.0,4.0
michigan-state,2015.0,5.0
michigan-state,2015.0,5.0
michigan-state,2014.0,1.0
michigan-state,2013.0,2.0
michigan-state,2013.0,4.0
michigan-state,2013.0,4.0
michigan-state,2012.0,2.0
michigan-state,2012.0,4.0
michigan-state,2012.0,4.0
michigan-state,2012.0,6.0
michigan-state,2012.0,6.0
michigan-state,2012.0,7.0
michigan,2021.0,1.0
michigan,2021.0,3.0
michigan,2021.0,3.0
michigan,2021.0,3.0
michigan,2021.0,5.0
michigan,2021.0,5.0
michigan,2021.0,6.0
michigan,2021.0,6.0
michigan,2020.0,1.0
michigan,2020.0,2.0
michigan,2020.0,4.0
michigan,2020.0,5.0
michigan,2020.0,5.0
michigan,2020.0,6.0
michigan,2020.0,6.0
michigan,2020.0,6.0
michigan,2020.0,6.0
michigan,2020.0,6.0
michigan,2019.0,1.0
michigan,2019.0,1.0
michigan,2019.0,3.0
michigan,2019.0,3.0
michigan,2019.0,5.0
michigan,2018.0,3.0
michigan,2018.0,5.0
michigan,2017.0,1.0
michigan,2017.0,1.0
michigan,2017.0,3.0
michigan,2017.0,3.0
michigan,2017.0,3.0
michigan,2017.0,3.0
michigan,2017.0,4.0
michigan,2017.0,4.0
michigan,2017.0,4.0
michigan,2017.0,5.0
michigan,2017.0,6.0
michigan,2016.0,3.0
michigan,2016.0,4.0
michigan,2016.0,6.0
michigan,2015.0,2.0
michigan,2015.0,2.0
michigan,2015.0,4.0
michigan,2014.0,1.0
michigan,2014.0,3.0
michigan,2014.0,7.0
michigan,2013.0,5.0
michigan,2013.0,6.0
michigan,2012.0,3.0
michigan,2012.0,7.0
michigan,2012.0,7.0
minnesota,2021.0,1.0
minnesota,2021.0,3.0
minnesota,2020.0,2.0
minnesota,2020.0,5.0
minnesota,2020.0,5.0
minnesota,2020.0,7.0
minnesota,2020.0,7.0
minnesota,2019.0,5.0
minnesota,2017.0,7.0
minnesota,2016.0,4.0
minnesota,2016.0,4.0
minnesota,2015.0,2.0
minnesota,2015.0,4.0
minnesota,2015.0,5.0
minnesota,2015.0,5.0
minnesota,2014.0,2.0
minnesota,2014.0,4.0
nebraska,2021.0,5.0
nebraska,2021.0,7.0
nebraska,2020.0,6.0
nebraska,2020.0,7.0
nebraska,2018.0,6.0
nebraska,2017.0,5.0
nebraska,2016.0,3.0
nebraska,2016.0,3.0
nebraska,2016.0,4.0
nebraska,2016.0,6.0
nebraska,2015.0,2.0
nebraska,2015.0,2.0
nebraska,2015.0,5.0
nebraska,2014.0,2.0
nebraska,2014.0,3.0
nebraska,2014.0,6.0
nebraska,2013.0,6.0
nebraska,2013.0,7.0
nebraska,2012.0,2.0
nebraska,2012.0,4.0
nebraska,2012.0,7.0
nebraska,2012.0,7.0
northwestern,2021.0,1.0
northwestern,2021.0,1.0
northwestern,2021.0,5.0
northwestern,2019.0,5.0
northwestern,2018.0,7.0
northwestern,2017.0,5.0
northwestern,2017.0,7.0
northwestern,2016.0,4.0
northwestern,2016.0,6.0
northwestern,2015.0,4.0
northwestern,2015.0,7.0
northwestern,2012.0,7.0
northwestern,2012.0,7.0
ohio-state,2021.0,1.0
ohio-state,2021.0,2.0
ohio-state,2021.0,2.0
ohio-state,2021.0,3.0
ohio-state,2021.0,3.0
ohio-state,2021.0,3.0
ohio-state,2021.0,4.0
ohio-state,2021.0,5.0
ohio-state,2021.0,5.0
ohio-state,2021.0,7.0
ohio-state,2020.0,1.0
ohio-state,2020.0,1.0
ohio-state,2020.0,1.0
ohio-state,2020.0,2.0
ohio-state,2020.0,3.0
ohio-state,2020.0,3.0
ohio-state,2020.0,3.0
ohio-state,2020.0,6.0
ohio-state,2020.0,7.0
ohio-state,2020.0,7.0
ohio-state,2019.0,1.0
ohio-state,2019.0,1.0
ohio-state,2019.0,2.0
ohio-state,2019.0,3.0
ohio-state,2019.0,3.0
ohio-state,2019.0,4.0
ohio-state,2019.0,4.0
ohio-state,2019.0,6.0
ohio-state,2019.0,7.0
ohio-state,2018.0,1.0
ohio-state,2018.0,1.0
ohio-state,2018.0,2.0
ohio-state,2018.0,3.0
ohio-state,2018.0,3.0
ohio-state,2018.0,4.0
ohio-state,2018.0,5.0
ohio-state,2017.0,1.0
ohio-state,2017.0,1.0
ohio-state,2017.0,1.0
ohio-state,2017.0,2.0
ohio-state,2017.0,2.0
ohio-state,2017.0,3.0
ohio-state,2017.0,7.0
ohio-state,2016.0,1.0
ohio-state,2016.0,1.0
ohio-state,2016.0,1.0
ohio-state,2016.0,1.0
ohio-state,2016.0,1.0
ohio-state,2016.0,2.0
ohio-state,2016.0,2.0
ohio-state,2016.0,3.0
ohio-state,2016.0,3.0
ohio-state,2016.0,3.0
ohio-state,2016.0,4.0
ohio-state,2016.0,4.0
ohio-state,2015.0,2.0
ohio-state,2015.0,3.0
ohio-state,2015.0,4.0
ohio-state,2015.0,6.0
ohio-state,2015.0,6.0
ohio-state,2014.0,1.0
ohio-state,2014.0,1.0
ohio-state,2014.0,2.0
ohio-state,2014.0,2.0
ohio-state,2014.0,5.0
ohio-state,2014.0,7.0
ohio-state,2013.0,2.0
ohio-state,2013.0,4.0
ohio-state,2013.0,7.0
ohio-state,2012.0,2.0
ohio-state,2012.0,3.0
ohio-state,2012.0,6.0
ohio-state,2012.0,6.0
penn-state,2021.0,1.0
penn-state,2021.0,1.0
penn-state,2021.0,2.0
penn-state,2021.0,7.0
penn-state,2021.0,7.0
penn-state,2021.0,7.0
penn-state,2020.0,2.0
penn-state,2020.0,2.0
penn-state,2020.0,4.0
penn-state,2020.0,6.0
penn-state,2020.0,6.0
penn-state,2019.0,2.0
penn-state,2019.0,3.0
penn-state,2019.0,4.0
penn-state,2019.0,5.0
penn-state,2019.0,6.0
penn-state,2019.0,7.0
penn-state,2018.0,1.0
penn-state,2018.0,2.0
penn-state,2018.0,4.0
penn-state,2018.0,4.0
penn-state,2018.0,5.0
penn-state,2018.0,6.0
penn-state,2017.0,3.0
penn-state,2016.0,2.0
penn-state,2016.0,2.0
penn-state,2016.0,3.0
penn-state,2016.0,6.0
penn-state,2016.0,6.0
penn-state,2015.0,2.0
penn-state,2015.0,5.0
penn-state,2015.0,5.0
penn-state,2014.0,2.0
penn-state,2014.0,4.0
penn-state,2014.0,5.0
penn-state,2013.0,3.0
penn-state,2013.0,4.0
penn-state,2013.0,7.0
penn-state,2012.0,2.0
penn-state,2012.0,5.0
penn-state,2012.0,5.0
penn-state,2012.0,7.0
purdue,2021.0,2.0
purdue,2021.0,4.0
purdue,2020.0,4.0
purdue,2020.0,7.0
purdue,2018.0,5.0
purdue,2017.0,5.0
purdue,2016.0,6.0
purdue,2015.0,5.0
purdue,2014.0,5.0
purdue,2014.0,5.0
purdue,2013.0,2.0
purdue,2012.0,5.0
purdue,2012.0,6.0
rutgers,2019.0,6.0
rutgers,2019.0,6.0
rutgers,2018.0,2.0
rutgers,2018.0,6.0
rutgers,2016.0,3.0
rutgers,2015.0,3.0
rutgers,2015.0,5.0
rutgers,2013.0,3.0
rutgers,2013.0,3.0
rutgers,2013.0,4.0
rutgers,2013.0,7.0
rutgers,2013.0,7.0
rutgers,2013.0,7.0
rutgers,2013.0,7.0
rutgers,2012.0,3.0
wisconsin,2021.0,5.0
wisconsin,2021.0,6.0
wisconsin,2021.0,6.0
wisconsin,2020.0,2.0
wisconsin,2020.0,3.0
wisconsin,2020.0,4.0
wisconsin,2020.0,5.0
wisconsin,2019.0,3.0
wisconsin,2019.0,5.0
wisconsin,2019.0,5.0
wisconsin,2019.0,5.0
wisconsin,2018.0,4.0
wisconsin,2018.0,5.0
wisconsin,2018.0,5.0
wisconsin,2018.0,6.0
wisconsin,2018.0,7.0
wisconsin,2017.0,1.0
wisconsin,2017.0,1.0
wisconsin,2017.0,4.0
wisconsin,2016.0,4.0
wisconsin,2016.0,6.0
wisconsin,2015.0,1.0
wisconsin,2015.0,2.0
wisconsin,2014.0,3.0
wisconsin,2014.0,3.0
wisconsin,2014.0,4.0
wisconsin,2014.0,5.0
wisconsin,2014.0,7.0
wisconsin,2013.0,1.0
wisconsin,2013.0,2.0
wisconsin,2013.0,5.0
wisconsin,2012.0,1.0
wisconsin,2012.0,2.0
wisconsin,2012.0,3.0
wisconsin,2012.0,4.0
wisconsin,2012.0,5.0
wisconsin,2012.0,6.0
arizona-state,2021.0,6.0
arizona-state,2020.0,1.0
arizona-state,2020.0,7.0
arizona-state,2019.0,1.0
arizona-state,2019.0,4.0
arizona-state,2018.0,4.0
arizona-state,2018.0,6.0
arizona-state,2018.0,6.0
arizona-state,2017.0,7.0
arizona-state,2016.0,5.0
arizona-state,2016.0,7.0
arizona-state,2015.0,1.0
arizona-state,2015.0,3.0
arizona-state,2015.0,4.0
arizona-state,2015.0,4.0
arizona-state,2014.0,3.0
